source_id,claim,value,unit,as_of,retrieved_at,source_type,source_url_or_path,reliability_note,destination
BFLY-8K-Q1-2026-ER,Q1 2026 adjusted EBITDA,-6135,USD thousands,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000014/bfly-20260430xexx991.htm,"Improved 32% YoY from -9068K",EVIDENCE
BFLY-8K-Q1-2026-ER,Q1 2026 cash and cash equivalents,137954,USD thousands,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000014/bfly-20260430xexx991.htm,"Down from 150489K YE2025",EVIDENCE
BFLY-8K-Q1-2026-ER,FY2026 revenue guidance low,117000,USD thousands,2026-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000014/bfly-20260430xexx991.htm,"Reaffirmed from initial Feb-2026 guide",EVIDENCE
BFLY-8K-Q1-2026-ER,FY2026 revenue guidance high,121000,USD thousands,2026-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000014/bfly-20260430xexx991.htm,"~20-24% growth range",EVIDENCE
BFLY-8K-Q1-2026-ER,FY2026 adjusted EBITDA guidance low (loss),-25000,USD thousands,2026-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000014/bfly-20260430xexx991.htm,"Reaffirmed",EVIDENCE
BFLY-8K-Q1-2026-ER,FY2026 adjusted EBITDA guidance high (loss),-21000,USD thousands,2026-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000014/bfly-20260430xexx991.htm,"Reaffirmed",EVIDENCE
BFLY-8K-Q1-2026-ER,Q2 2026 revenue guidance low,27000,USD thousands,2026-06-30,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000014/bfly-20260430xexx991.htm,"~24% YoY growth at midpoint",EVIDENCE
BFLY-8K-Q1-2026-ER,Q2 2026 revenue guidance high,31000,USD thousands,2026-06-30,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000014/bfly-20260430xexx991.htm,"Given with Q1 2026 results",EVIDENCE
BFLY-10Q-Q1-2026,Rothberg 10b5-1 plan Class A shares authorized,2799818,shares,2026-03-13,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000016/bfly-20260331.htm,"Sale window 2026-07-14 to 2027-07-14 -- starts 10 days after this dossier as_of",EVIDENCE
BFLY-10Q-Q1-2026,Rothberg 10b5-1 plan Class B shares authorized,5000000,shares,2026-03-13,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000016/bfly-20260331.htm,"Small fraction of his ~26.4M Class B holding",EVIDENCE
BFLY-10Q-Q1-2026,Q1 2026 litigation loss additional estimate,3300,USD thousands,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000016/bfly-20260331.htm,"Sezonov indemnification, same matter as Q4 2025 accrual",EVIDENCE
BFLY-10Q-Q1-2026,Q1 2026 insurance recovery asset,6000,USD thousands,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000016/bfly-20260331.htm,"Net +2.7M favorable to Other opex line",EVIDENCE
BFLY-8K-MIDJOURNEY,Midjourney one-time license fee,15000,USD thousands,2025-11-17,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417625000015/bfly-20251117.htm,"Non-recurring, paid at signing",EVIDENCE
BFLY-8K-MIDJOURNEY,Midjourney annual license fee,10000,USD thousands,2025-11-17,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417625000015/bfly-20251117.htm,"Payable quarterly over 5-year term = 50M cumulative",EVIDENCE
BFLY-8K-MIDJOURNEY,Midjourney milestone payments (max),9000,USD thousands,2025-11-17,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417625000015/bfly-20251117.htm,"Plus revenue-share on Midjourney hardware + chip purchase payments (uncapped/variable)",EVIDENCE
BFLY-8K-MIDJOURNEY,Midjourney deal term,5,years,2025-11-17,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417625000015/bfly-20251117.htm,"15M + 10Mx5 + 9M = 74M reconciles exactly to company's own headline framing",EVIDENCE
BFLY-8K-FY2025-ER,Midjourney Q4 2025 revenue contribution,6800,USD thousands,2025-12-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000007/bfly-20260226xexx991.htm,"Explicit company disclosure of quarterly recognition",EVIDENCE
BFLY-8K-WARRANT-DELIST,BFLY public warrant strike price,11.50,USD,2026-01-13,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000005/bfly-20260113.htm,"Delisted for abnormally low price, expired 2026-02-12; company says unrelated to performance",EVIDENCE
BFLY-8K-Q1-2026-ER,FDA clearance Gestational Age AI Tool,1,binary,2026-03-31,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000014/bfly-20260430xexx991.htm,"Blind-sweep AI for rapid fetal age estimation; rollout initiated Q1 2026",EVIDENCE
BFLY-10K-FY2025,Patents issued and pending applications,665,count,2026-02-25,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000009/bfly-20251231.htm,"Duplicate cross-reference entry; US + foreign, expiring 2030-2046",EVIDENCE
BFLY-8K-ANNUAL-MEETING,Class A shares present/voted at 2026 annual meeting,163228826,shares,2026-06-18,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000021/bfly-20260618.htm,"1 vote/share",EVIDENCE
BFLY-8K-ANNUAL-MEETING,Class B shares present/voted at 2026 annual meeting,26426937,shares,2026-06-18,2026-07-04,A1,https://www.sec.gov/Archives/edgar/data/1804176/000180417626000021/bfly-20260618.htm,"20 votes/share = 528538740 votes; ~76% of votes present",EVIDENCE
BFLY-COMPETITIVE-AGENT,GE Healthcare overall ultrasound market share,22,pct,2025-12-31,2026-07-04,B1,https://www.gminsights.com/industry-analysis/point-of-care-ultrasound-market,"Top 5 (GE/Canon/Siemens/Philips/Fujifilm) hold ~55% combined; handheld players not separately quantified",EVIDENCE
BFLY-COMPETITIVE-AGENT,GE Vscan Air base price,5499,USD,2026-01-01,2026-07-04,B2,https://suresultmed.com/handheld-ultrasound-brands-android-iphone/,"Plus 430-1165 USD/yr subscription",EVIDENCE
BFLY-COMPETITIVE-AGENT,Philips Lumify price,6000,USD,2026-01-01,2026-07-04,B2,https://suresultmed.com/handheld-ultrasound-brands-android-iphone/,"No subscription required",EVIDENCE
BFLY-COMPETITIVE-AGENT,Clarius Mobile Health FY2025 revenue growth,20,pct,2025-12-31,2026-07-04,B1,https://www.prnewswire.com/news-releases/clarius-mobile-health-announces-historic-2025,"Achieved full-year profitability FY2025; private direct handheld competitor",EVIDENCE
BFLY-COMPETITIVE-AGENT,TD Cowen BFLY price target raise,6.00,USD,2026-02-27,2026-07-04,B2,https://www.gurufocus.com/news/8663788/bfly-stock-target-price-raised-by-td-cowen-analyst-update-bfly-stock-news,"Raised from 4.50; Buy rating; cites Q4 results + Embedded traction",EVIDENCE
BFLY-COMPETITIVE-AGENT,Lake Street BFLY price target raise,5.50,USD,2026-01-20,2026-07-04,B2,search-indexed (TipRanks/MarketBeat aggregation),"Raised from 4.00; Buy rating",EVIDENCE
BFLY-COMPETITIVE-AGENT,Craig-Hallum BFLY rating reiterated,1,binary,2026-06-18,2026-07-04,B2,https://www.investing.com,"Buy reiterated (Chase Knickerbocker); initiated Buy at 3.00 on 2025-07-01",EVIDENCE
BFLY-COMPETITIVE-AGENT,Ion Torrent sale price (Rothberg exit),725000,USD thousands,2010-01-01,2026-07-04,B1,https://en.wikipedia.org/wiki/Jonathan_Rothberg,"Sold to Life Technologies; Rothberg's largest exit prior to BFLY",EVIDENCE
BFLY-COMPETITIVE-AGENT,454 Life Sciences sale price (Rothberg),140000,USD thousands,2007-01-01,2026-07-04,B1,https://en.wikipedia.org/wiki/Jonathan_Rothberg,"Sold to Roche; Rothberg lost control by 2007; Roche shut down 2013",EVIDENCE
BFLY-COMPETITIVE-AGENT,InTouch Health sale price (DeVivo CEO tenure),1100000,USD thousands,2020-01-01,2026-07-04,B1,https://www.businesswire.com/news/home/20230424005203/en,"Sold to Teladoc; DeVivo grew revenue 30% CAGR over 4 years as CEO",EVIDENCE
BFLY-COMPETITIVE-AGENT,FDA clearance date for Gestational Age Blind Sweep AI tool,2026-03-30,date,2026-03-30,2026-07-04,A1,https://www.businesswire.com/news/home/20260330456365/en,"First FDA-cleared blind-sweep ultrasound AI; trained on 21M+ images",EVIDENCE
