source_id,claim,value,unit,as_of,retrieved_at,source_type,destination,reliability_note
S001,Q1 2026 dividend and dividend-equivalent payments,1346,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"dividends continue"
S001,Q1 2026 share repurchases of Class A,0,USD_millions,2026-03-31,2026-06-19,A1,EVIDENCE,"ZERO repurchases vs 12754M prior-year quarter; cash redirected to capex"
S001,Q1 2026 Family daily active people (DAP) March 2026,3.56,billions,2026-03-31,2026-06-19,A1,EVIDENCE,"+4% Y/Y; slight Q/Q decline noted"
S001,Q1 2026 ad impressions growth,19,percent,2026-03-31,2026-06-19,A1,EVIDENCE,"Y/Y across Family of Apps"
S001,Q1 2026 average price per ad growth,12,percent,2026-03-31,2026-06-19,A1,EVIDENCE,"Y/Y; pricing power intact"
S001,Q2 2026 revenue guidance,58000-61000,USD_millions,2026-06,2026-06-19,A1,EVIDENCE,"assumes ~2% FX tailwind"
S001,FY2026 capex guidance incl finance leases,125000-145000,USD_millions,2026-12,2026-06-19,A1,EVIDENCE,"RAISED from 115-135B; higher component pricing + data center"
S001,FY2026 total expense guidance,162000-169000,USD_millions,2026-12,2026-06-19,A1,EVIDENCE,"unchanged; expects 2026 operating income above 2025"
S003,FY2025 total revenue (year ended 2025-12-31),200970,USD_millions,2025-12-31,2026-06-19,A1,EVIDENCE,"+22% Y/Y"
S003,FY2025 net income,60460,USD_millions,2025-12-31,2026-06-19,A1,EVIDENCE,"-3% Y/Y (OBBBA tax charge in Q3 2025)"
S003,FY2025 capital expenditures,72220,USD_millions,2025-12-31,2026-06-19,A1,EVIDENCE,"vs ~39B FY2024; AI build-out"
S003,FY2025 free cash flow,43590,USD_millions,2025-12-31,2026-06-19,A1,EVIDENCE,"DOWN despite revenue growth; capex compressing FCF"
S008,FY2025 Reality Labs operating loss,-19190,USD_millions,2025-12-31,2026-06-19,B2,EVIDENCE,"RL revenue 2.21B; widening; verify in 10-K"
S005,META close 2026-06-18 (last <= as_of),577.22,USD,2026-06-18,2026-06-19,B1,EVIDENCE,Yahoo chart daily series
S005,META 52-week high,796.25,USD,2026-06-19,2026-06-19,B1,EVIDENCE,"price -27% from high"
S005,META 52-week low,520.26,USD,2026-06-19,2026-06-19,B1,EVIDENCE,"price in lower-mid of 52wk range"
S006,Zuckerberg voting power,~61,percent,2026-04,2026-06-19,B1,EVIDENCE,"~99.7% of Class B (10 votes/share); ~14% economic; controlled company"
S006,Board of directors size effective 2026 AGM,12,directors,2026-04,2026-06-19,B1,EVIDENCE,"lead independent director; all 10 shareholder proposals rejected"
E1,Implied diluted shares (NI/EPS),2564,millions,2026-03-31,2026-06-19,E1,INTERPRETATION,"26773/10.44; used for market cap"
E1,Market cap at 577.22,1480000,USD_millions,2026-06-18,2026-06-19,E1,INTERPRETATION,"577.22 x 2564M shares"
