claim_id,source_id,layer,entity,date_or_period,claim_type,claim,status,confidence,notes
C116,SRC-Q2C,Contracts,NBIS,Q2-2026,reported_number,"Q2 签四笔合同, 平均 TCV > $1B 每笔",unverified_secondary,medium,"直接缓解集中度: 命中旧 monitor 的绿档'named 3rd large anchor'"
C117,SRC-Q2C,Pricing,NBIS,Q2-2026,reported_number,"成交单 MW 年合同价值 > $20M; 新签价区间升至 $40-50M/MW, 本周已签首笔",unverified_secondary,medium,"⭐ 本次最重要的单条. 直接对撞旧卡 M5 的商品化腿与 capital_cycle PEAK-lean 判定"
C118,SRC-Q2A,Guidance,NBIS,FY2026,guidance,"重申 FY26 营收 $3.0-3.4B, adj EBITDA margin ~40%",unverified_secondary,medium,"注意: 只是重申未上调, 尽管 Q2 大超"
C119,SRC-Q2A,Guidance,NBIS,YE2026,guidance,"年底 ARR 指引 $7-9B; Q2 出口 ARR $3.0B",unverified_secondary,medium,"衍生: H2 需再做 2.3x~3.0x. 这是全卡最强的多头腿, 也是最脆的一腿"
C120,SRC-Q2A,Guidance,NBIS,FY2026,guidance,"capex 2026 上调至 $20-25B",unverified_secondary,medium,"⭐ 关键: 旧卡 K-E 的红线是'坐实 $31-35B 高端而无相称转化'. $20-25B 落在低端 => K-E 证伪"
C121,SRC-Q2C,Financing,NBIS,2026-07,contract_term,"首笔优先担保债 $775M, SOFR+2.50%, 2030-10-31 到期, 由已部署 GPU + 投资级客户合同现金流担保",unverified_secondary,medium,"融资形态从纯可转债转向资产担保 —— 结构性变化"
C122,SRC-Q2C,Financing,NBIS,2026,plan,"计划可转债 ~$3.75B ($2B due 2031 + $1.75B due 2033)",unverified_secondary,low,"最终会稀释. 与 ATM 未动用并存"
C123,SRC-Q2C,Financing,NBIS,2026,qualitative,"ATM 股权计划 最多 2500 万 A 类股, 尚未动用",unverified_secondary,medium,"⭐ 旧卡 K-C(融资从 prepayment 转 dilution)的直接反证"
C124,SRC-Q2C,Guidance,NBIS,FY2026,guidance,"预期 2026 客户预付款 $9B+; 管理层称现在即可按此条款售出全部 2027 产能",unverified_secondary,low,"'现在就能卖光 2027'是管理层口头声明, 非事实. 按 source_policy 记为 SENTIMENT"
C125,SRC-Q2C,Contracts,NBIS,Q2-2026,reported_number,"总合同 ~$46B, 含 Meta ~$27B + Microsoft ~$17B",unverified_secondary,medium,"与旧卡 C013/C016 一致. 注意 backlog($46B) 与 RPO($33.6B) 口径不同, 勿混用"
C126,,Governance,NBIS,FY2026,,"Deloitte FY2026 ICFR 意见 / 折旧政策是否二次变更",OPEN,none,"年报项(20-F ~2027-04), 本次无新信息. 旧卡 C011/C012 的两个红旗未解除"
C127,,Concentration,NBIS,Q2-2026,,"客户集中度百分比",OPEN,none,"仍未披露具体占比. 旧卡 K-F 的'坐实 >60%'无法判定"
