claim_id,source_id,layer,entity,date_or_period,claim_type,claim,value,unit,status,confidence,notes
C014,S13,M&A,CEG,2026-01-07,contract_term,"Calpine total consideration $21,835M ($17,603M equity/~50M shs + $4,342M cash); ~$12.7B assumed net debt; $11,107M goodwill; guided >$2/share FY26 accretion",21.835,USD_bn,verified,high,"PRIMARY 10-Q figure. (Seed cited a $26.6B headline incl. debt; $21.835B is the accounting consideration.) Accretion guided, not fully realized"
C015,S5,Regulatory,CEG,2025-12-18,event,"FERC 5-0 order (193 FERC para 61,217, Docket EL25-49) directs PJM to ENABLE co-located load",1,order,verified,high,"Defuses the scariest pre-registered kill; reverses the Nov-2024 Talen/AWS BTM-rejection posture"
C016,S5,Regulatory,CEG,2026-04-16,event,"FERC accepted-in-part/rejected-in-part PJM compliance 2026-04-16; co-location DEFINITION still litigated",1,event,verified,medium,"Direction favorable; residual definitional risk -> monitor. CEG front-of-meter flagship insulated"
C017,S6,Operations,CEG,2027,event,"Crane (ex-TMI Unit 1 ~835 MW) restart on track for 2027 (pulled fwd from 2028); ~80% staffed; NRC draft EA/FONSI 2026-06-08",835,MW,verified,high,"Comment window to 2026-07-08. Some older sources still cite 2028; 2027 is the latest NRC-pace read"
C018,S6,Financials,CEG,2025-2027,reported_number,"Crane restart capex ~$1.6B, backstopped by $1.0B DOE loan (closed 2025-11-18)",1.6,USD_bn,verified,high,"Capex modest; DOE loan de-risks funding; restart on existing asset, no greenfield"
C019,S7,Regulatory,CEG,2025-2032,policy,"Section 45U nuclear PTC survived OBBBA intact: ~$15/MWh max value, ~$25/MWh gross-receipts floor, sunset 2032; FEOC-only changes",25,USD_per_MWh,verified,high,"Legislated downside backstop; FEOC irrelevant to US-owned CEG"
C020,S1,BusinessModel,CEG,FY2025,qualitative,"CEG is the largest US merchant generator; ~32 GW nuclear runs ~95% CF with near-zero marginal cost, selling into PJM/wholesale at gas-set clearing prices",32,GW,verified,high,"Margin = market price - ~$0 fuel, partially hedged forward"
C021,S1,BusinessModel,CEG,2026,qualitative,"New profit lever = bespoke long-dated PPAs to hyperscalers converting merchant volatility into contracted, PTC-floored annuity streams at a premium to wholesale",1,lever,verified,medium,"The 'how the bottleneck makes money' answer; depends on landing PPAs at premium"
C022,S1,Moat,CEG,2026,qualitative,"Existing carbon-free baseload effectively cannot be newly built (no new large US reactor on time/budget in a generation; permit+build ~10-15 yrs) -> durable scarcity",1,moat,verified,high,"Physical scarcity is the moat; supply curve cannot respond to AI demand quickly"
C023,S2,BalanceSheet,CEG,Q1-2026,reported_number,"Calpine adds ~23 GW (mostly gas + Geysers geothermal) + large retail book; carbon-free share ~90% -> ~58%",58,pct,verified,high,"Dilutes carbon-free purity; partial trigger on the 'Calpine re-carbonizes' kill"
C024,S11,M&A,CEG,2026-03,event,"LS Power divestiture COMPLETED: $5B / 4.4 GW (March 2026); supports deleverage + DOJ/FERC clearance",5,USD_bn,verified,high,"Asset sale COMPLETED (cash in) -- upgraded from seed's 'signed, cash not yet in'. Deleverage path now part-proven"
C025,S8,Demand,Hyperscalers,2026,reported_number,"Hyperscaler 2026 capex ~$725B (+77% YoY): AMZN $200B, MSFT $190B, GOOGL $190B, META $115-135B",725,USD_bn,verified,medium,"Secondary (FT/CNBC compilation); the SHARED-SWITCH demand variable -> accelerating, kill not firing. Single-factor tie with NBIS/VRT"
C026,S7,Valuation,CEG,2027,reported_number,"2027 open (un-hedged) nuclear volume priced ~$34/MWh; ~$25/MWh PTC floor below it",34,USD_per_MWh,verified,medium,"Power-price kill is LIVE but floored; ~$34 > ~$25 floor = cushion, not at floor"
C027r,S9,Valuation,CEG,2026-06-22,market_data,"At $277.64: mkt cap ~$100.3B, EV ~$120B, fwd P/E ~24x, EV/EBITDA ~15x, FCF yield ~1.2%",277.64,USD,verified,high,"Price via Yahoo daily-close <= as_of; 3 sources within 0.21%. -33% off the $412.70 52wk high"
C028r,S16,Valuation,CEG,2026-06-18,market_data,"Peer fwd P/E: VST ~16x, TLN ~17-18x, NRG ~18x; analyst targets avg ~$360, low $296, high $441 (23 analysts, Buy)",360,USD,verified,medium,"Even the LOWEST Street target ($296) sits above the current $277.64. Premium justified by scale + nuclear CF + AI-PPA optionality; bear case ~17-18x = $210-230"
C029,S15,Valuation,CEG,2026-06-22,market_data,"52-week range $240.51 - $412.70; current $277.64 is +15.4% off the low, -32.7% off the high",240.51,USD,verified,high,"T2 low/high-hug check: not hugging an extreme; current sits mid-band"
C030,S2,Contracts,CEG,2026,event,"NEW (post-Meta) deal: CyrusOne 380 MW data center in Texas (Calpine-side GAS, announced shortly after Calpine close); company cites >5,650 MW long-term clean-energy agreements + ~1 GW nuclear uprates planned",380,MW,partial,medium,"CyrusOne is GAS, not a premium-nuclear re-rate catalyst -- only partially addresses the 'no new PPA' gap. No NEW premium-nuclear hyperscaler PPA confirmed"
