claim_id,layer,as_of,claim_type,claim,value,unit,source_id,status,confidence,audit_note
GOOG.V2.Q1.016,Moat,Q1-2026,derived_ratio,"TAC to Google advertising revenue declined from 20.55% to 19.71%",19.71,pct,GOOG.LOCAL.P0.SEC,candidate_verified,high,"Owned-surface mix supports distribution quality."
GOOG.V2.CALL.001,Business,Q1-2026,management_claim,"Management says AI Overviews and AI Mode are increasing Search usage and commercial queries",,text,GOOG.A2.CALL2026Q1,candidate_management_claim,medium,"Management claim; useful but not independent proof."
GOOG.V2.CALL.002,Business,Q1-2026,management_claim,"Management says AI can improve monetization of longer and more complex searches",,text,GOOG.A2.CALL2026Q1,candidate_management_claim,medium,"No RPM cohort disclosure; keep as mechanism, not proven fact."
GOOG.V2.CALL.003,Moat,Q1-2026,management_claim,"Management says more than 30% of Search spend uses AI-enabled campaigns",30,pct,GOOG.A2.CALL2026Q1,candidate_management_claim,medium,"Ad-tool adoption supports auction migration but not ROI proof."
GOOG.V2.CALL.004,Industry,Q1-2026,management_claim,"Management says Cloud revenue would have been higher with more compute capacity",,text,GOOG.A2.CALL2026Q1,candidate_management_claim,medium,"Supports compute bottleneck thesis; needs utilization economics."
GOOG.V2.CALL.005,Operator,Q1-2026,management_claim,"Management references ROIC frameworks for capex but gives no numeric hurdle rate",,text,GOOG.A2.CALL2026Q1,candidate_management_claim,medium,"This is evidence of partial discipline and a remaining evidence gap."
GOOG.V2.CALL.006,Industry,Q1-2026,management_claim,"Management says just over half of Cloud backlog should convert within 24 months",,text,GOOG.A2.CALL2026Q1,candidate_management_claim,medium,"Timing evidence; backlog margin remains open."
GOOG.V2.CALL.007,Accounting,Q1-2026,management_claim,"Management says Cloud margin faces depreciation headwind from higher capex",,text,GOOG.A2.CALL2026Q1,candidate_management_claim,medium,"Supports caution against extrapolating Q1 Cloud margin."
GOOG.V2.FIN.001,Accounting,FY2026,guidance,"2026 capex guidance midpoint is 185000 from a 180000-190000 range",185000,USD_M,GOOGL.424B5.2026.06,candidate_verified,high,"Forward guidance; core input for owner earnings stress test."
GOOG.V2.FIN.002,Accounting,FY2027,guidance,"2027 capex is expected to significantly increase versus 2026",,text,GOOGL.424B5.2026.06,candidate_verified,high,"Directionally important; exact amount is undisclosed."
GOOG.V2.FIN.003,Operator,2026-06,financing_term,"Expected equity raise totals 80000000000",80000,USD_M,GOOGL.FWP.2026.06,candidate_verified,high,"Use to model dilution and capital allocation regime."
GOOG.V2.FIN.004,Operator,2026-06,financing_term,"Berkshire private placement gross proceeds were 10000000000",10000,USD_M,GOOGL.424B5.2026.06,candidate_verified,high,"External validation but not a substitute for underwriting."
GOOG.V2.OWN.001,Operator,2026Q1,ownership_snapshot,"Berkshire reported Alphabet A and C holdings in Q1 2026 13F",,shares,BRK.A1.13F.2026Q1,candidate_verified,high,"Quarter-end snapshot; not personal Buffett evidence."
GOOG.V2.OWN.002,Operator,2026Q1,ownership_snapshot,"H&H reported 3706000 Alphabet Class C shares in Q1 2026 13F",3706000,shares,HH.A1.13F.2026Q1,candidate_verified,high,"H&H is associated with Duan Yongping but not equivalent to personal real-time trading."
GOOG.V2.OWN.003,Operator,2026Q1,derived_number,"H&H Class C share count approximately doubled from Q4 2025 to Q1 2026",99.7,pct,HH.A1.13F.2026Q1,candidate_verified,high,"Derived from Q4 and Q1 13F snapshots."
GOOG.V2.OPEN.001,Business,2026,open_question,"AI Overviews / AI Mode RPM versus traditional Search RPM is not disclosed",,text,GOOG.A2.CALL2026Q1,open,high,"This blocks a buy decision because it determines AI Search economics."
GOOG.V2.OPEN.002,Accounting,2026,open_question,"Maintenance versus growth capex split is not disclosed",,text,GOOG.A1.2026Q1.10Q,open,high,"This blocks normalized owner earnings."
GOOG.V2.OPEN.003,Industry,2026,open_question,"Cloud backlog margin by workload type is not disclosed",,text,GOOG.A2.CALL2026Q1,open,medium,"This prevents full profit-pool quality judgment."
GOOG.V2.OPEN.004,Operator,2026,open_question,"Numeric AI capex hurdle rate or payback period is not disclosed",,text,GOOG.A2.CALL2026Q1,open,high,"This blocks full capital allocation underwriting."

