claim_id,block,claim,source_id,verification_status,confidence,notes
C021,Bottleneck,"Rising rack density forces liquid cooling: GB200 NVL72 ~132kW, GB300 ~142kW; above ~50kW air cooling fails",S5,verified,medium,"Mechanical driver of rising $-content per rack; density figures are design-spec, vendor/press sourced"
C022,Bottleneck,"Component layer (cold plates, CDUs, DTC) is multi-sourced and commoditizing; DTC market ~+26% CAGR with many suppliers",S7,verified,medium,"VRT defends by owning the system/integration layer, not the component; Boyd/CoolIT/Modine sit inside its BoM"
C023,Inversion,"~75% of demand is downstream of four hyperscalers' discretionary capex; no PTC floor, no multi-year take-or-pay",S2,inferred,medium,"Most capex-geared name in the basket; backlog is cancellable. Inferred from backlog character + customer mix commentary, not a single disclosed line"
C024,Inversion,"Backlog $15.0B converts ~12-18 months and is cancellable (no contracted floor)",S3,inferred,medium,"Conversion window is management framing; cancellability is structural for equipment orders vs PPAs"
C025,Macro,"Big-4 2026 capex ~$700-725B, +62-77% YoY; ~75% AI-related; slope steepening",S9,verified,medium,"Shared-switch variable. AMZN ~$200B, GOOGL $175-185B, META $115-135B, MSFT $110-120B"
C026,Operator,"CEO Giordano Albertazzi since 2023; serial guide-beat-raise; May-2026 IC raised ceiling (12-14%->20-22% CAGR, 25%->27% margin)",S4,verified,high,"High execution credibility; margins ahead of 2024 investor-day path"
C027,Operator,"Stopped disclosing headline quarterly orders / book-to-bill in Q1'26 after a blow-out Q4",S2,verified,high,"YELLOW FLAG on operator transparency — removes the cleanest demand gauge exactly when it matters most"
C028,Operator,"Balance sheet net cash ~$0.76B; bolt-on thermal M&A (Thermal Key / dry coolers); modest buybacks; dividend yield ~0.07%",S6,verified,medium,"Optionality for M&A + buybacks; capital allocation growth-tilted, negligible dividend"
C029,Valuation,"At $333: market cap ~$128B, EV ~$128B (net cash); fwd P/E ~48-49x (FY26E EPS $6.35); trailing P/E ~84x; EV/EBITDA ~54x; P/FCF ~56x; P/S ~11.8x; PEG ~1.5",S6,needs_audit,medium,"Aggregator-sourced multiples; priced for perfection — bull case already in price"
C030,Valuation,"-12% off 52-wk high ($380); +203% off 52-wk low ($110)",S6,verified,medium,"No floor: the $110 low was one year ago — bear case has real downside"
C031,Valuation,"Analyst mean target ~$377-378 (Strong Buy, ~27 analysts, high $500) ~= +13% upside",S6,needs_audit,medium,"Limited upside already priced to the Street mean"
C032,Inversion,"Margin targets tracking ahead: FY26 22.8-23.8% vs 27% 2030; Q1'26 beat its own guide ~180bps",S1,verified,high,"Kill-criterion (c) is GREEN — margin path is not the risk"
C033,Bottleneck,"VRT owns the integration bottleneck (design authority + speed-to-deploy + breadth) but supplies into the component bottleneck",S5,inferred,medium,"Synthesis claim across S5/S7 — moat sits at the system layer, exposure at the cycle layer; no shock-absorber"
