scenario,branch,year,calendar_year,revenue_growth_assumption,revenue_index_2026_100,owner_earnings_b,owner_earnings_per_share,share_count_b,capex_to_ocf_assumption,owner_earnings_conversion_assumption,exit_p_oe,terminal_value_per_share,cumulative_dividends_per_share,ten_year_total_irr_at_373_19,buy_price_for_10pct_irr,decision_read,evidence_grade,open_flags
"bear","defensive_capex","10","2036","3.0%","147.96","76.97","5.93","12.976","65%","10-12% normalized OE/revenue; large part of AI capex treated as maintenance/defensive","16","94.91","10.32","-11.89%","40.57","reject unless price already discounts utility-like outcomes","B/C mixed: SEC capex/debt hard evidence; AI RPM and capex split open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"base","mixed_delay","0","2026","start","100.00","65.00","5.31","12.238","106%","15% rising toward low-20s OE/revenue as capex starts earning; still below pre-AI cash conversion","22","","","","","watch; not enough MOS at current price","B: uses hard Q1 anchors plus derived normalization; capex payback open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"base","mixed_delay","1","2027","10.0%","110.00","74.10","6.09","12.177","115%","15% rising toward low-20s OE/revenue as capex starts earning; still below pre-AI cash conversion","22","","","","","watch; not enough MOS at current price","B: uses hard Q1 anchors plus derived normalization; capex payback open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"base","mixed_delay","2","2028","10.0%","121.00","84.47","6.97","12.116","80%","15% rising toward low-20s OE/revenue as capex starts earning; still below pre-AI cash conversion","22","","","","","watch; not enough MOS at current price","B: uses hard Q1 anchors plus derived normalization; capex payback open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"base","mixed_delay","3","2029","10.0%","133.10","96.30","7.99","12.055","65%","15% rising toward low-20s OE/revenue as capex starts earning; still below pre-AI cash conversion","22","","","","","watch; not enough MOS at current price","B: uses hard Q1 anchors plus derived normalization; capex payback open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"base","mixed_delay","4","2030","10.0%","146.41","109.78","9.15","11.995","55%","15% rising toward low-20s OE/revenue as capex starts earning; still below pre-AI cash conversion","22","","","","","watch; not enough MOS at current price","B: uses hard Q1 anchors plus derived normalization; capex payback open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"base","mixed_delay","5","2031","10.0%","161.05","125.15","10.49","11.935","50%","15% rising toward low-20s OE/revenue as capex starts earning; still below pre-AI cash conversion","22","","","","","watch; not enough MOS at current price","B: uses hard Q1 anchors plus derived normalization; capex payback open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"base","mixed_delay","6","2032","7.0%","172.32","142.67","12.01","11.875","48%","15% rising toward low-20s OE/revenue as capex starts earning; still below pre-AI cash conversion","22","","","","","watch; not enough MOS at current price","B: uses hard Q1 anchors plus derived normalization; capex payback open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"base","mixed_delay","7","2033","7.0%","184.39","162.65","13.77","11.816","46%","15% rising toward low-20s OE/revenue as capex starts earning; still below pre-AI cash conversion","22","","","","","watch; not enough MOS at current price","B: uses hard Q1 anchors plus derived normalization; capex payback open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"base","mixed_delay","8","2034","7.0%","197.29","185.42","15.77","11.757","45%","15% rising toward low-20s OE/revenue as capex starts earning; still below pre-AI cash conversion","22","","","","","watch; not enough MOS at current price","B: uses hard Q1 anchors plus derived normalization; capex payback open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"base","mixed_delay","9","2035","7.0%","211.11","211.38","18.07","11.698","45%","15% rising toward low-20s OE/revenue as capex starts earning; still below pre-AI cash conversion","22","","","","","watch; not enough MOS at current price","B: uses hard Q1 anchors plus derived normalization; capex payback open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"base","mixed_delay","10","2036","7.0%","225.88","240.97","20.70","11.640","45%","15% rising toward low-20s OE/revenue as capex starts earning; still below pre-AI cash conversion","22","455.46","17.50","2.40%","182.34","watch; not enough MOS at current price","B: uses hard Q1 anchors plus derived normalization; capex payback open","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bull","growth_capex","0","2026","start","100.00","82.00","6.70","12.238","106%","20% rising toward high-20s OE/revenue; AI capex produces scarce infrastructure returns","26","","","","","works at current only if bull evidence is true","C+: requires unproven AI RPM, Cloud durability, capex normalization","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bull","growth_capex","1","2027","14.0%","114.00","97.58","8.07","12.085","110%","20% rising toward high-20s OE/revenue; AI capex produces scarce infrastructure returns","26","","","","","works at current only if bull evidence is true","C+: requires unproven AI RPM, Cloud durability, capex normalization","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bull","growth_capex","2","2028","14.0%","129.96","116.12","9.73","11.934","65%","20% rising toward high-20s OE/revenue; AI capex produces scarce infrastructure returns","26","","","","","works at current only if bull evidence is true","C+: requires unproven AI RPM, Cloud durability, capex normalization","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bull","growth_capex","3","2029","14.0%","148.15","138.18","11.73","11.785","50%","20% rising toward high-20s OE/revenue; AI capex produces scarce infrastructure returns","26","","","","","works at current only if bull evidence is true","C+: requires unproven AI RPM, Cloud durability, capex normalization","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bull","growth_capex","4","2030","14.0%","168.90","164.44","14.13","11.637","42%","20% rising toward high-20s OE/revenue; AI capex produces scarce infrastructure returns","26","","","","","works at current only if bull evidence is true","C+: requires unproven AI RPM, Cloud durability, capex normalization","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bull","growth_capex","5","2031","14.0%","192.54","195.68","17.03","11.492","40%","20% rising toward high-20s OE/revenue; AI capex produces scarce infrastructure returns","26","","","","","works at current only if bull evidence is true","C+: requires unproven AI RPM, Cloud durability, capex normalization","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bull","growth_capex","6","2032","10.0%","211.80","232.86","20.52","11.348","38%","20% rising toward high-20s OE/revenue; AI capex produces scarce infrastructure returns","26","","","","","works at current only if bull evidence is true","C+: requires unproven AI RPM, Cloud durability, capex normalization","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bull","growth_capex","7","2033","10.0%","232.98","277.10","24.73","11.206","38%","20% rising toward high-20s OE/revenue; AI capex produces scarce infrastructure returns","26","","","","","works at current only if bull evidence is true","C+: requires unproven AI RPM, Cloud durability, capex normalization","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bull","growth_capex","8","2034","10.0%","256.27","329.75","29.80","11.066","38%","20% rising toward high-20s OE/revenue; AI capex produces scarce infrastructure returns","26","","","","","works at current only if bull evidence is true","C+: requires unproven AI RPM, Cloud durability, capex normalization","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bull","growth_capex","9","2035","10.0%","281.90","392.41","35.91","10.928","38%","20% rising toward high-20s OE/revenue; AI capex produces scarce infrastructure returns","26","","","","","works at current only if bull evidence is true","C+: requires unproven AI RPM, Cloud durability, capex normalization","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
"bull","growth_capex","10","2036","10.0%","310.09","466.96","43.27","10.791","38%","20% rising toward high-20s OE/revenue; AI capex produces scarce infrastructure returns","26","1125.06","23.42","11.90%","442.79","works at current only if bull evidence is true","C+: requires unproven AI RPM, Cloud durability, capex normalization","OPEN: AI Search RPM; maintenance/growth capex split; Cloud backlog margin; preferred conversion/ATM final issuance"
