claim_id,source_id,layer,entity,date_or_period,claim_type,claim,status,confidence,notes
C034,SRC-008,Ownership,NVIDIA,2026-03-31,governance,"NVIDIA owns 1,190,476 NBIS Class A ($123.5M at 3/31/26) per 13F; PLUS separate $2B Mar-2026 pre-funded warrant for 21,065,936 shares (not in 13F until exercised)",verified,high,"13F understates true NVIDIA exposure"
C035,SRC-001,Operator,NBIS,2026-03-31,governance,"Founder Arkady Volozh controls ~52-55% of voting power on ~11-13% economic interest via Class B (10 votes/sh) held by LASTAR Trust; Nasdaq Controlled Company",verified,high,"Founder voting control far exceeds economic stake"
C036,SRC-001,Operator,NBIS,FY2025,governance,"Exec comp is share-price/equity-driven (premium options at $40 and $100; 6M-option grant vested on 2025-09-10 share-price condition); NO explicit revenue/ARR/capex-efficiency hurdle disclosed. SBC $83.2M FY2025",verified,medium,"WATCH: rewards stock appreciation/scale over capital efficiency"
C037,SRC-001,Operator,NBIS,2024,governance,"Yandex Russia assets sold for ~$5.4B (closed 2024-07-15); Volozh removed from EU sanctions list 2024-03-13; Nasdaq trading resumed 2024-10-21",verified,medium,"Residual indemnities/legacy litigation NOT confirmed from primary text — open item"
C038,SRC-001,Financials,NBIS,Oct2024-Mar2026,reported_number,"~$12.5B+ raised since relisting (~$3.7B equity/warrant + ~$8.1B converts + ATM); basic shares 199.3M (Sep2024) -> 253.9M (Mar2026) = ~+27% basic dilution, plus convert/warrant overhang",verified,high,"Dilution material and ongoing"
C039,SRC-019,Risk,NBIS,2026-05,qualitative,"Morgan Stanley Equal-Weight PT $126->$144; reportedly found NBIS 2025 adj EBIT margin ~ -96.8% 'due to inheriting large Yandex cost base'",needs_audit,low,"PT well-corroborated; the -96.8% verbatim single-sourced (futunn). Treat as unconfirmed"
C040,SRC-018,Risk,NBIS,2026-05-29,market_data,"Short interest ~17.5% of float (44.3M sh, ~2.6 days to cover), declining; vs CoreWeave ~14%",needs_audit,medium,"Elevated; + Nasdaq-100 inclusion = squeeze fuel"
C041,SRC-020,Risk,CRWV,2025-07,qualitative,"HSBC 'Reduce' on CoreWeave: commoditization, MSFT+OpenAI >72% of rev, maintenance capex ~35% of rev from 2030 as GPUs age. Read-across applied to NBIS by MS/press, not HSBC directly",needs_audit,medium,"Peer logic, not NBIS-specific"
C042,SRC-007,SOTP,NBIS,2025-2026,reported_number,"SOTP stakes: ClickHouse ~28% (Series D ~$15B Jan2026 -> ~$4.2B to NBIS); Avride ~83% (~$2.2-2.3B); Toloka ~28% econ (Bezos $72M May2025, NOT NVIDIA, ~$0.4-0.5B); TripleTen 100% loss-making (~$0.2-0.3B); aggregate ~$7.5-8B",needs_audit,medium,"Valuations analyst-derived; ClickHouse $15B mark drove $780.6M Q1'26 non-cash gain (primary). CORRECTION: Toloka=Bezos not NVIDIA"
C043,SRC-001,Contracts,NBIS,2025-12-31,reported_number,"RPO (remaining performance obligations) $21,333.0M at Dec 31 2025; ~28% recognized within 24 months",verified,high,"AUDITED contracted-revenue metric. 'Backlog' is not in the 20-F"
C044,SRC-002,Contracts,NBIS,2026-03-31,reported_number,"RPO $33,585.3M at Mar 31 2026 (+$12.25B QoQ after 2nd Meta deal); 29% within 24 months, 39% mo 25-48, 32% later",verified,high,"MOST CURRENT contracted metric — use RPO, not the media '$46B backlog'"
C045,SRC-018,Contracts,NBIS,2026,qualitative,"'$46B (~$50B) backlog' is a media/analyst sum of deal CEILINGS (MSFT up to $19.4B + 2nd Meta up to $27B), NOT a company figure",verified,high,"Overstates lock-in: optional Meta $15B tranche + not-yet-recognizable capacity excluded from RPO ($33.6B)"
C046,SRC-002,Financials,NBIS,2026-03-31,reported_number,"Deferred revenue $4,778.1M at Mar 31 2026 (cur $685.6M + non-cur $4,092.5M); +$3,200.6M new prepayments in Q1'26",verified,high,"Customer prepayments fund capex + inflate OCF"
C047,SRC-002,Contracts,NBIS,2025-2026,reported_number,"Meta first agreement ~$2,880.7M (Dec2025, take-or-pay); Meta second (Mar16 2026) up to ~$27B = $12B firm Vera Rubin from 2027 + $15B optional/resaleable",verified,high,"$15B optional (NBIS can resell; else Meta buys) -> not firm RPO"
C048,SRC-002,BusinessModel,NBIS,2026,qualitative,"25+ named non-anchor customers (Cloudflare, Prosus, Shopify, Revolut, monday.com, Sword Health, 1X, Recraft, Prime Intellect...); self-service pipeline +~3.5x QoQ ex-hyperscalers; NO $ values disclosed",verified,medium,"Demand breadth = key bull signal; dollars outside MSFT/Meta still thin"
C049,SRC-002,BusinessModel,NBIS,Q1-2026,reported_number,"AI Cloud = ~98% of group revenue Q1'26 (~94% Q4'25); AI Studio/Token Factory (per-token inference) fastest-growing but NOT separately disclosed",verified,medium,"Inference $ still small; this is segment mix, not anchor-vs-self-serve"
C050,SRC-002,BusinessModel,NBIS,2026,market_data,"List pricing: on-demand H100 $3.85 / H200 $4.50 / B200 $7.15; reserved H100 $2.15 (~35-44% off). Undercuts CoreWeave (H100 ~$6.15)",needs_audit,medium,"nebius.com/prices; competitive mid-market"
C051,SRC-002,BusinessModel,NBIS,2026,qualitative,"Concentration: MSFT+Meta ~$44-46B = ~90%+ of contracted backlog (2 customers); company does NOT disclose top-1/5 %; near-term revenue concentration lower (Meta $12B firm starts 2027)",needs_audit,medium,"20-F XBRL has CustomerA/CustomerD members but %s not auto-retrievable"
