section,period,branch,line_item,value,unit,source_url,status,formula,interpretation
capex_bridge,FY2024,observed,depreciation_ppe,15311,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,A1_or_hand_parsed_A1,cash-flow add-back: depreciation of property and equipment,Observable floor/proxy for replacement burden; not the same as maintenance capex.
capex_bridge,FY2024,observed,capex_minus_depreciation_ppe,37224,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,derived,capex - depreciation_ppe,"Rough growth/expansion pipeline proxy, but not proof of growth capex."
capex_bridge,FY2024,observed,assets_not_yet_in_service_or_cip,50597,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,A1_if_populated,10-K/10-Q PPE note; blank if not pulled comparably,Large unproductive/in-progress asset base creates future depreciation and utilization risk.
capex_bridge,FY2025,observed,operating_cash_flow,164713,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,A1_or_derived_TTM,reported OCF; TTM derived from FY minus Q1 plus Q1,Cash generation available before capex.
capex_bridge,FY2025,observed,capex_purchases_ppe,91447,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,A1_or_derived_TTM,reported purchases of property and equipment; TTM derived,PPE purchases are the cash capex denominator.
capex_bridge,FY2025,observed,free_cash_flow,73266,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,derived,OCF - capex,FCF is not a 10-K line; it is the cash left after PPE purchases.
capex_bridge,FY2025,observed,capex_to_ocf,55.52,pct,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,derived,capex / OCF,Higher values mean more operating cash is consumed by infrastructure.
capex_bridge,FY2025,observed,fcf_conversion_of_ocf,44.48,pct,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,derived,FCF / OCF,This is the visible conversion pressure from capex.
capex_bridge,FY2025,observed,depreciation_ppe,21136,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,A1_or_hand_parsed_A1,cash-flow add-back: depreciation of property and equipment,Observable floor/proxy for replacement burden; not the same as maintenance capex.
capex_bridge,FY2025,observed,capex_minus_depreciation_ppe,70311,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,derived,capex - depreciation_ppe,"Rough growth/expansion pipeline proxy, but not proof of growth capex."
capex_bridge,FY2025,observed,assets_not_yet_in_service_or_cip,78592,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,A1_if_populated,10-K/10-Q PPE note; blank if not pulled comparably,Large unproductive/in-progress asset base creates future depreciation and utilization risk.
capex_bridge,TTM_Q1_2026,observed,operating_cash_flow,174353,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,A1_or_derived_TTM,reported OCF; TTM derived from FY minus Q1 plus Q1,Cash generation available before capex.
capex_bridge,TTM_Q1_2026,observed,capex_purchases_ppe,109924,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,A1_or_derived_TTM,reported purchases of property and equipment; TTM derived,PPE purchases are the cash capex denominator.
capex_bridge,TTM_Q1_2026,observed,free_cash_flow,64429,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,derived,OCF - capex,FCF is not a 10-K line; it is the cash left after PPE purchases.
capex_bridge,TTM_Q1_2026,observed,capex_to_ocf,63.05,pct,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,derived,capex / OCF,Higher values mean more operating cash is consumed by infrastructure.
capex_bridge,TTM_Q1_2026,observed,fcf_conversion_of_ocf,36.95,pct,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,derived,FCF / OCF,This is the visible conversion pressure from capex.
capex_bridge,TTM_Q1_2026,observed,depreciation_ppe,23131,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,A1_or_hand_parsed_A1,cash-flow add-back: depreciation of property and equipment,Observable floor/proxy for replacement burden; not the same as maintenance capex.
capex_bridge,TTM_Q1_2026,observed,capex_minus_depreciation_ppe,86793,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,derived,capex - depreciation_ppe,"Rough growth/expansion pipeline proxy, but not proof of growth capex."
capex_bridge,TTM_Q1_2026,observed,assets_not_yet_in_service_or_cip,108597,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,A1_if_populated,10-K/10-Q PPE note; blank if not pulled comparably,Large unproductive/in-progress asset base creates future depreciation and utilization risk.
forward_capex,FY2026E,management_guide,capex_midpoint,185000,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257690/d159942d424b5.htm,A1,midpoint of 180B-190B guide,Forward capex exceeds TTM OCF and is almost 3x TTM FCF.
forward_capex,FY2027E,management_guide,capex_direction,significantly_higher_than_2026,text,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257690/d159942d424b5.htm,A1,company wording in 424B5,Future owner earnings remain capped until capex productivity is visible.
owner_earnings_inputs,FY2025,all,operating_income,129039,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,A1_or_derived_TTM,reported operating income,Cleanest accounting profit anchor because it excludes nonoperating investment gains.
owner_earnings_inputs,FY2025,all,normalized_tax_rate,21,pct,ASSUMPTION,assumption,NOPAT = operating_income * (1 - 21%),"Tax rate is a underwriting convention, not a company-disclosed normalized tax rate."
owner_earnings_inputs,FY2025,all,nopat_from_operating_income,101940.81,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,derived_with_assumption,operating_income * 79%,Operating-income-based owner earnings anchor before D&A/capex/SBC.
owner_earnings_inputs,FY2025,all,depreciation_ppe_addback,21136,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,A1_or_derived_TTM,depreciation of property and equipment,Added back before subtracting maintenance capex.
owner_earnings_inputs,FY2025,all,sbc_economic_cost,27100,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,A1_note_total,FY2025 uses note total; TTM uses cash-flow add-back because note total is not disclosed,SBC is treated as a real owner cost.
owner_earnings_branch,FY2025,growth,maintenance_capex_assumption,21136,USD_M,OPEN,assumption_not_disclosed,maintenance_capex_equals_depreciation,10-K/10-Q do not disclose maintenance vs growth capex.
owner_earnings_branch,FY2025,growth,owner_earnings,74840.81,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,derived_under_branch,NOPAT + depreciation_ppe - SBC - maintenance_capex,Most capex is incremental growth; requires evidence that AI/search/cloud capex converts to incremental revenue and margins with capex/OCF peaking.
owner_earnings_branch,FY2025,growth,owner_earnings_per_share,6.19,USD_per_share,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,derived_under_branch,owner_earnings / period-end shares,Most capex is incremental growth; requires evidence that AI/search/cloud capex converts to incremental revenue and margins with capex/OCF peaking.
owner_earnings_branch,FY2025,mixed,maintenance_capex_assumption,32006.45,USD_M,OPEN,assumption_not_disclosed,maintenance_capex_equals_35pct_of_capex,10-K/10-Q do not disclose maintenance vs growth capex.
owner_earnings_branch,FY2025,mixed,owner_earnings,63970.36,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,derived_under_branch,NOPAT + depreciation_ppe - SBC - maintenance_capex,Some AI capex is defensive and some is growth; requires FCF/share to resume growth while Cloud margin/depreciation remain controlled.
owner_earnings_branch,FY2025,mixed,owner_earnings_per_share,5.29,USD_per_share,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,derived_under_branch,owner_earnings / period-end shares,Some AI capex is defensive and some is growth; requires FCF/share to resume growth while Cloud margin/depreciation remain controlled.
owner_earnings_branch,FY2025,defensive,maintenance_capex_assumption,45723.50,USD_M,OPEN,assumption_not_disclosed,maintenance_capex_equals_50pct_of_capex,10-K/10-Q do not disclose maintenance vs growth capex.
owner_earnings_branch,FY2025,defensive,owner_earnings,50253.31,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,derived_under_branch,NOPAT + depreciation_ppe - SBC - maintenance_capex,Large share of AI capex is required to defend existing Search/Cloud economics; supported if capex/OCF remains high and FCF/share stagnates.
owner_earnings_branch,FY2025,defensive,owner_earnings_per_share,4.16,USD_per_share,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,derived_under_branch,owner_earnings / period-end shares,Large share of AI capex is required to defend existing Search/Cloud economics; supported if capex/OCF remains high and FCF/share stagnates.
owner_earnings_inputs,TTM_Q1_2026,all,operating_income,138129,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,A1_or_derived_TTM,reported operating income,Cleanest accounting profit anchor because it excludes nonoperating investment gains.
owner_earnings_inputs,TTM_Q1_2026,all,normalized_tax_rate,21,pct,ASSUMPTION,assumption,NOPAT = operating_income * (1 - 21%),"Tax rate is a underwriting convention, not a company-disclosed normalized tax rate."
owner_earnings_inputs,TTM_Q1_2026,all,nopat_from_operating_income,109121.91,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,derived_with_assumption,operating_income * 79%,Operating-income-based owner earnings anchor before D&A/capex/SBC.
owner_earnings_inputs,TTM_Q1_2026,all,depreciation_ppe_addback,23131,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,A1_or_derived_TTM,depreciation of property and equipment,Added back before subtracting maintenance capex.
owner_earnings_inputs,TTM_Q1_2026,all,sbc_economic_cost,26188,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,observable_lower_bound_TTM_note_total_OPEN,FY2025 uses note total; TTM uses cash-flow add-back because note total is not disclosed,SBC is treated as a real owner cost.
owner_earnings_branch,TTM_Q1_2026,growth,maintenance_capex_assumption,23131,USD_M,OPEN,assumption_not_disclosed,maintenance_capex_equals_depreciation,10-K/10-Q do not disclose maintenance vs growth capex.
owner_earnings_branch,TTM_Q1_2026,growth,owner_earnings,82933.91,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,derived_under_branch,NOPAT + depreciation_ppe - SBC - maintenance_capex,Most capex is incremental growth; requires evidence that AI/search/cloud capex converts to incremental revenue and margins with capex/OCF peaking.
owner_earnings_branch,TTM_Q1_2026,growth,owner_earnings_per_share,6.84,USD_per_share,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,derived_under_branch,owner_earnings / period-end shares,Most capex is incremental growth; requires evidence that AI/search/cloud capex converts to incremental revenue and margins with capex/OCF peaking.
owner_earnings_branch,TTM_Q1_2026,mixed,maintenance_capex_assumption,38473.40,USD_M,OPEN,assumption_not_disclosed,maintenance_capex_equals_35pct_of_capex,10-K/10-Q do not disclose maintenance vs growth capex.
owner_earnings_branch,TTM_Q1_2026,mixed,owner_earnings,67591.51,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,derived_under_branch,NOPAT + depreciation_ppe - SBC - maintenance_capex,Some AI capex is defensive and some is growth; requires FCF/share to resume growth while Cloud margin/depreciation remain controlled.
owner_earnings_branch,TTM_Q1_2026,mixed,owner_earnings_per_share,5.58,USD_per_share,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,derived_under_branch,owner_earnings / period-end shares,Some AI capex is defensive and some is growth; requires FCF/share to resume growth while Cloud margin/depreciation remain controlled.
owner_earnings_branch,TTM_Q1_2026,defensive,maintenance_capex_assumption,54962,USD_M,OPEN,assumption_not_disclosed,maintenance_capex_equals_50pct_of_capex,10-K/10-Q do not disclose maintenance vs growth capex.
owner_earnings_branch,TTM_Q1_2026,defensive,owner_earnings,51102.91,USD_M,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,derived_under_branch,NOPAT + depreciation_ppe - SBC - maintenance_capex,Large share of AI capex is required to defend existing Search/Cloud economics; supported if capex/OCF remains high and FCF/share stagnates.
owner_earnings_branch,TTM_Q1_2026,defensive,owner_earnings_per_share,4.22,USD_per_share,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,derived_under_branch,owner_earnings / period-end shares,Large share of AI capex is required to defend existing Search/Cloud economics; supported if capex/OCF remains high and FCF/share stagnates.
