section,metric,value,unit,formula_or_source,interpretation,source,status
"financing","post_financing_diluted_shares_mid_no_ATM","12237.9","shares_M","12116 + 50.919 + 28.572 + 42.444","Mid diluted count excluding ATM; about +1.0% versus Q1.","derived","derived"
"financing","post_financing_diluted_shares_mid_full_ATM","12345.1","shares_M","post_no_ATM + 40B/373.19","Mid diluted count if full ATM at anchor price; about +1.9% versus Q1.","derived","derived_OPEN_ATM_price"
"owner_earnings_base","defensive_OE_base","52","USD_B","local owner_earnings_v2 defensive branch","Assumes large part of AI capex is defensive or maintenance-like.","companies/googl/model/owner_earnings_v2.csv","derived_draft"
"owner_earnings_base","mid_OE_base","65","USD_B","local implied expectations midpoint","Mixed branch; capex payback delayed but not structurally impaired.","companies/googl/model/implied_expectations_v2.csv","derived_draft"
"owner_earnings_base","growth_OE_base","82","USD_B","local owner_earnings high branch rounded","Assumes most current AI capex is high-return growth capex.","companies/googl/model/owner_earnings_v2.csv","derived_draft"
"implied_OE_CAGR","required_OE_CAGR_8pct_IRR_18x_exit_OE52B","26.4","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_10pct_IRR_18x_exit_OE52B","28.8","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_12pct_IRR_18x_exit_OE52B","31.1","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_8pct_IRR_22x_exit_OE52B","23.9","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_10pct_IRR_22x_exit_OE52B","26.2","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_12pct_IRR_22x_exit_OE52B","28.5","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_8pct_IRR_24x_exit_OE52B","22.8","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_10pct_IRR_24x_exit_OE52B","25.1","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_12pct_IRR_24x_exit_OE52B","27.4","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_8pct_IRR_26x_exit_OE52B","21.9","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_10pct_IRR_26x_exit_OE52B","24.1","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_12pct_IRR_26x_exit_OE52B","26.4","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_8pct_IRR_18x_exit_OE65B","23.6","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_10pct_IRR_18x_exit_OE65B","25.9","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_12pct_IRR_18x_exit_OE65B","28.2","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_8pct_IRR_22x_exit_OE65B","21.2","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_10pct_IRR_22x_exit_OE65B","23.4","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_12pct_IRR_22x_exit_OE65B","25.7","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_8pct_IRR_24x_exit_OE65B","20.1","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_10pct_IRR_24x_exit_OE65B","22.4","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_12pct_IRR_24x_exit_OE65B","24.6","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_8pct_IRR_26x_exit_OE65B","19.2","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_10pct_IRR_26x_exit_OE65B","21.4","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_12pct_IRR_26x_exit_OE65B","23.6","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_8pct_IRR_18x_exit_OE82B","20.8","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_10pct_IRR_18x_exit_OE82B","23.0","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_12pct_IRR_18x_exit_OE82B","25.3","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_8pct_IRR_22x_exit_OE82B","18.4","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_10pct_IRR_22x_exit_OE82B","20.6","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_12pct_IRR_22x_exit_OE82B","22.8","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_8pct_IRR_24x_exit_OE82B","17.4","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_10pct_IRR_24x_exit_OE82B","19.5","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_12pct_IRR_24x_exit_OE82B","21.7","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_8pct_IRR_26x_exit_OE82B","16.4","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_10pct_IRR_26x_exit_OE82B","18.6","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_OE_CAGR","required_OE_CAGR_12pct_IRR_26x_exit_OE82B","20.7","pct","((market_cap*(1+target_IRR)^10/exit_multiple)/OE0)^(1/10)-1","No interim payout or net cash credit; dividends/buybacks can help, but capex and dilution can offset.","derived","derived"
"implied_read","current_price_base_case_read","base 14% OE CAGR at 22x gives about 2.4% total 10Y IRR","text","see scenario_model_v2.csv","Current-like price does not offer MOS under mixed/delay branch.","scenario_model_v2.csv","derived"
"implied_read","current_price_bull_case_read","bull 19% OE CAGR at 26x gives about 11.9% total 10Y IRR","text","see scenario_model_v2.csv","Current-like price works only if the high-return AI capex branch is true.","scenario_model_v2.csv","derived_with_open_inputs"
"implied_read","market_is_implying","roughly 21-23% OE CAGR from $65B base at 22x for 8-10% IRR","text","required CAGR table","This is a high bar while AI Search RPM, capex split, and Cloud backlog margin remain undisclosed.","derived","derived"
