scenario,horizon_yrs,rev_cagr_assumed,exit_adj_ebitda_margin,exit_ev_ebitda_multiple,rev_terminal_usd_m,ebitda_terminal_usd_m,net_cash_terminal_usd_m,ev_terminal_usd_m,equity_terminal_usd_m,price_terminal_usd,irr_pct,vs_8pct_hurdle
#   whole model: DXCM's CURRENT price already embeds a meaningful expectation of sustained execution, so the base
#   case requires genuine multiple normalization (not multiple failure) to still produce a positive but sub-hurdle
#   return.
# - BULL: The 2030 Investor Day targets track AHEAD of schedule (G8 launches on/ahead of the ~18-month timeline,
#   Stelo scales meaningfully beyond its currently-unquantified base, international covered-lives expansion
#   accelerates); GLP-1 proves genuinely complementary (CONNECT-trial-style clinical validation continues
#   accumulating, Signos-style AI-ecosystem partnerships multiply); no further distribution/channel-control
#   incidents; revenue CAGR of 13.0% (Yr1-3) moderating to 12.0% (Yr3-5) tracks near the upper end of what the
#   Investor Day implied; EBITDA margin approaches but does not fully reach the 2030 endpoint (31% Yr3, 35% Yr5 vs
#   the 36-37% 2030 target); multiple HOLDS near current levels (20x Yr3, 19x Yr5) rather than expanding further,
#   consistent with the batch's discipline against assuming re-rating beyond an already-rich starting multiple even
#   in the bull case.
# - Net cash (not net debt) terminal values grow modestly across all scenarios given DexCom's FY2025 net-cash
#   starting position (~$758M) and continued FCF generation, partially offset by the new $1B buyback (facts.md E48)
#   consuming some of that cash in all scenarios -- bear case shows the SLOWEST net-cash growth (weaker FCF
#   generation under a stalled-growth scenario, still fully funding the buyback), bull case shows the fastest
#   (strong FCF generation from margin-expansion + growth, funding both the buyback and continued net-cash buildup).
# - 8% hurdle: bear FAILS at both 3yr and 5yr (-11.7%/-6.8%) -- a materially worse bear case than either ABT's
#   (-12.7%/-4.2%, similar 3yr but less severe 5yr) or GEHC's, reflecting DXCM's single-category concentration risk;
#   base case FAILS at both horizons but MARGINALLY (+7.0%/+7.6%, both within ~1-1.3 percentage points of the
#   hurdle) -- this is a "close, not comfortable, and not yet clearing" result, a genuinely different (slightly
#   worse) shape than ABT's base case (which cleared the hurdle at 5yr, if only barely, at +8.5%); bull case PASSES
#   comfortably at both horizons (+16.5%/+16.0%). The base case's near-miss is driven almost entirely by the
#   multiple-compression assumption (22.4x -> 16-18x) -- if the current rich multiple simply HOLDS rather than
#   compresses even partially, the base case would clear the hurdle comfortably; this is the single most important,
#   sensitivity-worth-flagging assumption in this entire model.
