name,segment,subsegment,founded_year,hq_country,hq_city,status,latest_valuation_usd_m,total_funding_usd_m,latest_round_date,latest_round_type,revenue_usd_m,revenue_yoy_pct,payer_type,business_model,moat_type,founders_phd_count,founders_background,tech_dna,hardware_component,china_counterpart,china_counterpart_overseas_status,entry_paths,nick_notes,entry_role_paths,pm_demand_signal,data_as_of
Viz.ai,S5,stroke_workflow,2016,US,San_Francisco,private,,252,2022,D,,,hospital,enterprise_subscription_plus_partnership,integration,1,Chris Mansi MD + David Golan PhD,hybrid,none,联影智能 (卒中),,direct hire SF; via Medtronic partnership,1700+ hospital deployments. Medtronic strategic partnership. 44% faster stroke dx,,,2026-05-16
Paige,S5,pathology_breast_prostate,2017,US,New_York,acquired,1500,200,2020,Acquired,,,pharma_plus_lab,pharma_partnership,regulatory,1,David Klimstra MD (MSK pathologist),clinical,paired_device,透彻影像,,now in Bayer/Roche structure; MSK alumni network,Acquired by Bayer/Roche 2020 up to $1.5B. First FDA de-novo pathology AI (Paige Breast Alpha),,,2026-05-16
Lunit,S5,oncology_imaging_oem,2013,South_Korea,Seoul,public,,200,2022,IPO,,,oem_imaging_vendor,oem_licensing_plus_per_study,partner_network,1,PhDs from KAIST,algorithm,none,联影智能 (乳腺),,Seoul HQ; KOSDAQ listed; APAC sales hire,KOSDAQ public. OEM partnerships with GE/Philips/Fujifilm/Microsoft. Lancet Digital Health publication,,,2026-05-16
Rad AI,S5,radiology_reporting_nlp,2018,US,Berkeley,private,,151,2024,C,,,hospital,enterprise_subscription,integration,1,Doktor Gurson MD + Jeff Chang MD,clinical,none,,,direct hire CA,$60M late 2024. NLP for radiologist reporting burden. Adjacent to S1 scribe paradigm,,,2026-05-16
Proscia,S5,pathology_lab_platform,2014,US,Philadelphia,private,,130,2025,D,,,pharma_plus_lab,platform_per_seat_plus_pharma,integration,0,David West (Penn engineering),hybrid,none,赛雷思,,direct hire Philly,16/20 top pharma clients. 22k patients/day. Lab platform play,,,2026-05-16
Subtle Medical,S5,mr_ct_image_enhancement,2017,US/China,Menlo_Park,private,,80,2024,B,,,hospital,oem_plus_per_study,brand,1,Enhao Gong PhD (Stanford EE),algorithm,paired_device,联影集团 (MR 加速),active,DUAL-SHORE: HQ Palo Alto + China dev team. Direct hire either side,"600+ sites, ~2.5M patients/yr. Samsung Ventures + Siemens OEM. CRITICAL ENTRY for Nick (dual-shore + algo + imaging)",,,2026-05-16
Annalise.ai,S5,comprehensive_radiology,2017,Australia,Brisbane,private,,100,2023,B,,,hospital,pacs_integrated_per_study,brand,1,Aengus Tran MD + Dimitry Tran,clinical,none,,planning,direct hire Brisbane; APAC expansion,FDA Breakthrough Designation. 100+ findings per exam. Spin-out from Harrison.ai,,,2026-05-16
Qure.ai,S5,emerging_market_imaging,2016,India,Mumbai,private,,80,2023,C,,,hospital_plus_govt,public_health_plus_per_study,brand,1,Pooja Rao MD-PhD + Prashant Warier PhD,algorithm,none,,active,India HQ; expanding into Africa/SEA,Emerging market leader. TB screening contracts. Govt + WHO partnerships,,,2026-05-16
Ibex Medical,S5,pathology_cancer,2016,Israel,Tel_Aviv,private,,108,2023,C,,,lab_plus_pharma,per_specimen_plus_pharma,regulatory,0,Joseph Mossel + Chaim Linhart PhD,algorithm,none,,planning,direct hire Tel Aviv,Roche Navify integration. EU IVDR certified. Breast/prostate/gastric,,,2026-05-16
Neko Health,S5,whole_body_preventive,2018,Sweden,Stockholm,private,1800,310,2025,B,,,patient_plus_employer,retail_per_scan,brand_plus_hardware,0,Hjalmar Nilsonne + Daniel Ek (Spotify CEO),hybrid,embedded_in_device,,active,Sweden HQ; UK expansion,$260M Series B 2025. Retail body scan + AI. Daniel Ek (Spotify) co-founder. Novel paradigm,,,2026-05-16
Ultromics,S5,echocardiography,2017,UK,Oxford,private,,40,2023,B,,,hospital,per_study_subscription,regulatory,1,Ross Upton PhD (Oxford),algorithm,none,,planning,direct hire Oxford,FDA Breakthrough echo. EchoGo platform. IVS partnership,,,2026-05-16
Zebra Medical Vision,S5,multimodal_imaging,2010,Israel,Shefayim,acquired,100,57,2021,Acquired,,,hospital,per_scan,brand,1,Eyal Gura + Eyal Toledano + Elad Benjamin (PhD),algorithm,paired_device,,,now part of Nanox; ex-employees scattered,Acquired by Nanox 2021 for $100M. Integrated into Nanox radiography hardware,,,2026-05-16
OpenEvidence,S2,medical_search_llm,2022,US,Miami,private,12000,735,2026-01,D,150,1803,pharma_advertising,pharma_medtech_advertising,network,1,Daniel Nadler (Harvard Econ PhD; ex-Kensho founder $700M+ to S&P 2018),algorithm,none,字节豆包医疗 / DeepSeek 医疗 / 丁香园+大模型,none,direct hire Miami; medical-Twitter outreach; via Daniel Nadler Harvard network,40% US physicians registered. 18-20M consults/month. 90% gross margin. 80x ARR multiple. THE breakout S2 case study,,,2026-05-16
Hippocratic AI,S2,patient_facing_agents,2023,US,Palo_Alto,private,3500,404,2025-11,C,,,health_system_enterprise,per_agent_per_conversation,brand,1,Munjal Shah + collaborators (multi-MD founding team),hybrid,none,京东健康 / 平安好医生 + LLM,planning,direct hire CA,50+ health systems / 6 countries / 1000+ use cases / 115M+ patient interactions. Non-diagnostic agents.,,,2026-05-16
Glass Health,S2,clinical_reasoning_plus_scribe,2018,US,San_Francisco,private,,30,2023,A,,,clinician_plus_health_system,smb_saas_plus_enterprise,brand,1,Dereck Paul MD + Graham Ramsey,clinical,none,,,direct hire CA,Harvard/Stanford/Hopkins customers. Horizontal scribe + CDS. Risk of being squeezed,,,2026-05-16
Atropos Health,S2,agentic_rwe_evidence,2019,US,San_Francisco,private,,30,2024,A,,,health_system,enterprise_subscription,data,1,Saurabh Gombar MD-PhD + Nigam Shah PhD (Stanford),algorithm,none,,,direct hire CA; Stanford spin-out,Stanford Health Care deployed. Microsoft Dragon Copilot integration. Evidence Agent product,,,2026-05-16
Counsel Health,S2,patient_triage,2022,US,New_York,private,,15,2024,seed,,,patient_plus_employer,smb_consumer,brand,,,clinical,none,,,direct hire NY,AI triage / patient routing,,,2026-05-16
Doctronic,S2,patient_triage,2023,US,San_Francisco,private,,10,2024,seed,,,patient,direct_to_consumer,brand,,,clinical,none,,,direct hire CA,AI symptom assessment,,,2026-05-16
Eikon Therapeutics,S4,phenomic_drug_discovery,2019,US,Hayward_CA,public,1500,1500,2025,IPO,,,big_pharma_partnership_plus_pipeline,partnership_milestone,data,2,Roger Perlmutter (ex-Merck R&D head) + others,hybrid,paired_device,,none,direct hire CA; ex-pharma network,IPO 2025; live-cell phenomic + ML,,,2026-05-16
Xaira Therapeutics,S4,foundation_model_biology,2023,US,Brisbane_CA,private,1000,1300,2024-04,A,,,big_pharma_partnership_plus_pipeline,partnership_milestone,data,3,David Baker collaborators (RFdiffusion); Arch+Foresite incubated,algorithm,none,,none,direct hire CA; via David Baker Bay Area network,$1B Series A historic. Foundation model integrating RFdiffusion + functional genomics + proteomics,,,2026-05-16
Isomorphic Labs,S4,structure_foundation_model,2021,UK,London,private,,600,2024,A,,,big_pharma_partnership,partnership_milestone,IP,2,Demis Hassabis (DeepMind CEO) + team,algorithm,none,,none,part of Alphabet; DeepMind network,Alphabet subsidiary. First external round 2024. Eli Lilly $1.7B + Novartis $1.2B collabs. AlphaFold commercialization,,,2026-05-16
insitro,S4,biology_data_ml,2018,US,South_San_Francisco,private,,643,2023,D,,,big_pharma_partnership,partnership_milestone,data,1,Daphne Koller PhD (Stanford CS; Coursera co-founder),algorithm,paired_device,,none,direct hire CA; via Koller Stanford network,Gilead/BMS collabs. ML + biology platform,,,2026-05-16
Valo Health,S4,human_data_drug_design,2019,US,Boston,private,,450,2023,B,,,big_pharma_partnership,partnership_milestone,data,1,David Berry MD-PhD + Flagship-incubated,hybrid,none,,none,direct hire Boston; Flagship Pioneering network,Novo Nordisk $4.6B milestone deal expanded 2025. Opal platform,,,2026-05-16
Insilico Medicine,S4,gen_ai_drug_discovery,2014,HongKong,Hong_Kong,public,2700,800,2025-12,IPO,,,big_pharma_partnership_plus_pipeline,partnership_milestone_plus_pipeline,IP,1,Alex Zhavoronkov PhD (JHU; born Russia),algorithm,none,,active,direct hire SH/SUZ/Boston/AbuDhabi; via Alex's HK-US bridge,HK IPO Dec2025 $293M = $2.7B mkt cap. FIRST AI biotech HKEX Ch 8.05 IPO. Rentosertib (IPF) Phase 2 positive. MULTI-SHORE model: SH+Suzhou+Boston+AbuDhabi+Montreal. CRITICAL CASE STUDY for Nick,,,2026-05-16
Recursion Pharmaceuticals,S4,phenomics_drug_discovery,2013,US,Salt_Lake_City,public,,1200,2021,IPO,74.7,27,big_pharma_partnership_plus_pipeline,partnership_milestone,data,1,Chris Gibson PhD + Blake Borgeson PhD + Dean Li MD,hybrid,paired_device,,none,public-co hire UT; ex-pharma + academia network,NASDAQ:RXRX. 2025 rev $74.7M (+27% YoY). Loss -$644M. Cash $754M. Merged Exscientia. Cautionary: 4 yrs public no big readout,,,2026-05-16
Genesis Therapeutics,S4,gen_chemistry_translational,2019,US,Burlingame_CA,private,,280,2024,B,,,big_pharma_partnership,partnership_milestone,IP,1,Evan Feinberg PhD (Stanford),algorithm,none,,none,direct hire CA; Stanford network,$200M Series B. Chem + structure modeling,,,2026-05-16
AbCellera,S4,antibody_discovery,2012,Canada,Vancouver,public,,500,2020,IPO,,,big_pharma_partnership,partnership_milestone,data,2,Carl Hansen PhD + team (UBC),hybrid,paired_device,,none,public-co hire Vancouver,NASDAQ:ABCL. Multiple antibody discovery partnerships,,,2026-05-16
Cradle Bio,S4,ai_protein_design,2021,Netherlands,Zurich_Amsterdam,private,,73,2024,B,,,big_pharma_plus_biotech,licensing_plus_per_molecule,IP,2,Stef van Grieken (ex-Google AI) + others,algorithm,none,,planning,direct hire EU; Google alumni network,$73M Series B. EU base. AI protein design adjacent to RFdiffusion,,,2026-05-16
Tempus AI,S3,precision_medicine_diagnostics_data,2015,US,Chicago,public,12800,,2024-06,IPO,1300,83.4,payer_plus_pharma,per_test_plus_data_licensing,data,0,Eric Lefkofsky (serial entrepreneur Groupon InnerWorkings),hybrid,paired_device,燃石医学 / 华大智造 (MGI),none,public-co hire Chicago; via Eric Lefkofsky ecosystem,NASDAQ:TEM. $1.3B revenue 2025 +83% YoY. Diagnostics $955M + Data $316M. 2026 guidance $1.59B. AI is enabling not product. Same business pattern as imaging device makers,,,2026-05-16
Guardant Health,S3,liquid_biopsy_ctdna,2012,US,Redwood_City,public,5000,,2018,IPO,982,33,payer_plus_pharma,per_test_plus_data,regulatory,1,Helmy Eltoukhy PhD + AmirAli Talasaz PhD,hybrid,paired_device,燃石医学,planning,public-co hire CA; via cardiology+oncology partner network,NASDAQ:GH. $982M revenue 2025 +33%. 363K tests. Shield MCED $80M with $1495 Medicare rate. Liquid biopsy leader,,,2026-05-16
Caris Life Sciences,S3,tissue_plus_liquid_profiling,2008,US,Irving_TX,public,5300,,2025-06,IPO,412,35,payer_plus_pharma,per_test_plus_data,data,1,David Halbert (founder ex-AdvancePCS) + Brian Brille,hybrid,paired_device,燃石医学,none,public-co hire TX,NASDAQ IPO Jun2025 $5.3B target. $412M revenue 2024 +35%. Comprehensive molecular profiling,,,2026-05-16
Foundation Medicine,S3,tissue_genomic_profiling,2010,US,Cambridge_MA,acquired,2400,,2018,Acquired,,,payer_plus_pharma,per_test_plus_data,regulatory,2,Levi Garraway MD-PhD + Eric Lander founding board,hybrid,paired_device,燃石医学 OncoScreen,na,now in Roche structure; ex-employee scattering,Roche 100% acquired 2018 for $2.4B. F1CDx is gold standard tissue NGS. Largest CGP company by tests,,,2026-05-16
GRAIL,S3,mced_multi_cancer_screening,2016,US,Menlo_Park,public,8000,,2023,Spinoff,120,30,payer_plus_self_pay,per_screen_test,regulatory,2,Hans Bishop + Bert Vogelstein co-founders,hybrid,paired_device,鹍远基因,none,public-co hire CA; via Illumina ecosystem,Illumina spinoff 2016 -> Illumina re-acquired 2020 $8B -> divested 2023 antitrust. Galleri multi-cancer screening single product bet,,,2026-05-16
Natera,S3,prenatal_plus_tumor_ctdna,2004,US,Austin,public,20000,,2015,IPO,1700,30,payer_plus_self_pay,per_test_plus_data,scale,1,Matthew Rabinowitz PhD + Jonathan Sheena,hybrid,paired_device,贝瑞和康,none,public-co hire TX; via Stanford ecosystem,NASDAQ:NTRA. $1.7B revenue 2024 +30%. Prenatal screening leader + Signatera ctDNA,,,2026-05-16
Exact Sciences,S3,stool_dna_plus_oncotype,1995,US,Madison_WI,public,10000,,2001,IPO,2800,10,payer,per_test,regulatory,0,established mgmt team,clinical,paired_device,诺辉健康,na,public-co hire WI,NASDAQ:EXAS. $2.8B revenue 2024 +10%. Cologuard + Oncotype DX. AI portion smaller than test biology,,,2026-05-16
Freenome,S3,multicancer_liquid_biopsy,2014,US,South_San_Francisco,private,2000,1000,2024,E,,,payer_plus_self_pay,per_screen_test,data,1,Gabriel Otte PhD + Charles Roberts MD-PhD,hybrid,paired_device,,none,direct hire CA,$2B+ valuation. Multi-cancer screening competitor to GRAIL,,,2026-05-16
Adaptive Biotechnologies,S3,immune_profiling,2009,US,Seattle,public,1000,500,2019,IPO,170,15,payer_plus_pharma,per_test_plus_data,IP,1,Chad Robins + Harlan Robins PhD,hybrid,paired_device,,none,public-co hire WA,NASDAQ:ADPT. $170M revenue 2024 +15%. clonoSEQ + immunoSEQ. Smaller scale than Tempus/Guardant,,,2026-05-16
Forward Health,S7,ai_primary_care_kiosk,2016,US,San_Francisco,dead,1000,650,2024-11,Dead,,,patient_self_pay,subscription_plus_kiosk,brand,0,Adrian Aoun (ex-Google),hybrid,embedded_in_device,,,company defunct; ex-employees scattered,CAUTIONARY. $650M burned. CarePods kiosks failed (low patient interest + tech failures incl people stuck inside). AI substance not enabling = death,,,2026-05-16
Pear Therapeutics,S7,digital_therapeutics_fda,2013,US,Boston,dead,1600,400,2023-04,Dead,,,patient_self_pay,fda_approved_per_prescription,regulatory,1,Corey McCann MD-PhD,clinical,none,,,company defunct,CAUTIONARY. SPAC IPO 2021 $1.6B. FDA cleared reSET (substance use) + Somryst (insomnia) but PAYERS REFUSED COVERAGE. FDA != commercial,,,2026-05-16
Babylon Health,S7+S6,virtual_primary_care,2013,UK,London,dead,4000,550,2023-06,Dead,,,nhs_plus_payer,subscription,brand,0,Ali Parsa MD,clinical,none,,,company defunct; UK assets at eMed,CAUTIONARY. SPAC IPO 2021 $4B. NHS single-buyer dependency + AI capability < marketing. Owed $389M with $309M assets at bankruptcy [also touches S6 admin],,,2026-05-16
Hims & Hers,S7,d2c_telehealth_glp1,2017,US,San_Francisco,public,6000,,2021,IPO,2400,49,patient_self_pay,d2c_subscription,scale,0,Andrew Dudum (serial entrepreneur),hybrid,none,京东健康/平安好医生,none,public-co hire CA; sales/marketing heavy,NYSE:HIMS. Q3 2025 $599M (+49% YoY) annualized $2.5B. D2C Rx + GLP-1 + AI as enabling. Trybe Labs acquisition 2025,,,2026-05-16
Ro,S7,d2c_telehealth_glp1,2017,US,New_York,private,7000,1000,2022,D,,,patient_self_pay,d2c_subscription,brand,0,Zachariah Reitano (founder),hybrid,none,京东健康/平安好医生,none,direct hire NY,Last raised 2022 $7B. Novo Nordisk Wegovy partnership 2025. Hims direct competitor,,,2026-05-16
Spring Health,S7,employer_mental_health,2016,US,New_York,private,3300,460,2024,E,,,employer_plus_payer,enterprise_plus_per_employee,brand,2,April Koh + Adam Chekroud PhD,hybrid,none,BetterUp/壹心理,planning,direct hire NY,20M+ lives covered. Employer + payer focused mental health AI matching,,,2026-05-16
K Health,S7,ai_primary_care_chatbot,2016,US,New_York,private,1500,300,2023,E,,,patient_plus_employer,smb_consumer,brand,1,Allon Bloch (serial entrepreneur),algorithm,none,,planning,direct hire NY,AI primary care + telehealth integration. Smaller than Hims/Ro,,,2026-05-16
Slingshot AI,S7,mental_health_chatbot,2022,US,San_Francisco,private,,93,2025-07,A,,,patient_plus_employer,smb_consumer,brand,1,Daniel Cahn + Neil Parikh PhD,algorithm,none,,planning,direct hire CA,$93M Series A Jul 2025. Mental health AI chatbot competitor to Lyra/Talkspace,,,2026-05-16
