name,name_zh,segment,subsegment,founded_year,hq_city,status,listing,latest_valuation_usd_m,total_funding_usd_m,latest_round_date,latest_round_type,revenue_usd_m,revenue_yoy_pct,payer_type,business_model,moat_type,founders_phd_count,founders_background,founders_returnee,tech_dna,hardware_component,us_counterpart,overseas_status,overseas_target_regions,entry_paths,nick_notes,data_as_of
Berry Genomics,贝瑞和康,S3,prenatal_screening,2010,Beijing,public,A_share_000710_SZSE,400,,2017,IPO_reverse_merger,200,10,patient_plus_hospital,per_test,scale,1,周代星 (ex-Illumina + BGI),1,clinical,paired_device,Natera,none,,public-co hire 北京,中国产前 NIPT 头部. A 股上市. 北京家族业务直接同城,2026-05-16
New Horizon Health,诺辉健康,S3,colon_cancer_screening,2015,Hangzhou,public,HK_6606_HK_trading_suspended_2024,500,250,2021-02,IPO,120,-30,patient_plus_self_pay,per_screen_test,regulatory_plus_brand,1,朱叶青 PhD,1,clinical,paired_device,Exact Sciences Cologuard,none,,public-co hire 杭州,"常卫清 (Cologuard 中国版) 头部. 2024 起被传财务造假, HK 停牌. 红旗 5/6 极高风险",2026-05-16
XtalPi,晶泰科技,S4,ai_plus_quantum_drug_discovery,2015,Shenzhen,public,HK_2228_HK,2000,700,2024-06,IPO,30,20,big_pharma_partnership,partnership_milestone,IP_plus_data,3,温书豪 + 马健 + 赖力鹏 (MIT + Princeton PhDs),1,algorithm,none,Isomorphic Labs / Cradle Bio / Xaira,active,"US, EU",public-co hire 深圳 + 波士顿; 双总部 model 类似 Insilico,HK Ch 18A IPO 2024-06. 中港双总部 + AI + biotech. Insilico 之外另一个中国 AI drug discovery 旗舰,2026-05-16
Insilico Medicine (cross-ref),英矽智能,S4,gen_ai_drug_discovery,2014,Hong_Kong,public,HK_3696_HK_Ch_8.05,2700,800,2025-12,IPO,,,big_pharma_partnership_plus_pipeline,milestone_plus_pipeline,IP,1,Alex Zhavoronkov PhD (JHU; Russia-born),0,algorithm,none,(also in US companies.csv),active,已 multi-shore: SH+Suzhou+Boston+AbuDhabi+Montreal,direct hire 上海/苏州; ⭐ HK IPO 2025-12 范本,首个 HKEX Ch 8.05 AI biotech IPO. Phase 2 positive (rentosertib IPF). Nick 出海叙事直接范本,2026-05-16
Bytedance Xiaohe AI Doctor,字节小荷AI医生 / 豆包医疗,S2,consumer_medical_llm_app,2025,Beijing,private,parent_Bytedance_private,,,2025-07,internal_launch,,,consumer_plus_pharma_advertising,ad_supported_consumer_health,scale_plus_brand,,Bytedance internal team,,algorithm,none,OpenEvidence (closest) / Hippocratic AI,planning,follow Bytedance global,⭐ Nick Plan B (PM): 医疗产品经理 / 临床产品经理. 豆包大模型医疗 vertical 招聘活跃,字节 2025-07 launch 小荷AI医生 App. 基于豆包大模型 + 小荷医疗大模型. PM path 教科书匹配,2026-05-16
Alibaba Tongyi Medical,阿里通义医疗 / 阿里健康,S2,ai_consumer_medical,2014,Hangzhou,public,HK_0241_HK_Ali_Health,8000,,2014,IPO,3500,30,consumer_plus_pharma,e_commerce_plus_ai_services,scale_plus_distribution,,Alibaba subsidiary mgmt,,algorithm,none,Hims & Hers + OpenEvidence (hybrid),planning,SEA via Alibaba,public-co hire Hangzhou; ⭐ Nick Plan B (PM): AI 产品经理 / 海外业务 PM,阿里健康 HK 上市. 通义大模型医疗 vertical 集成. Lazada+SEA 出海可能,2026-05-16
Tencent Miying,腾讯觅影,S2+S5,ai_imaging_plus_cds_in_tencent,2017,Shenzhen,private,parent_Tencent_HK_0700,,,,internal,,,hospital,internal_to_tencent_cloud,platform_plus_brand,,Tencent internal team,,algorithm,none,Aidoc (imaging) + OpenEvidence (CDS),planning,SEA,⭐ Nick Plan C (PM): AI 影像产品经理 — S5 imaging + 腾讯生态 double match,腾讯医疗 AI 旗舰产品. 主要做胸片+病理+食管癌+宫颈癌 AI 筛查. Profile match 极高 for Nick (PM path),2026-05-16
JD Health Kangkang,京东健康 / 康康 / 京医千询,S2+S7,consumer_medical_ai,2019,Beijing,public,HK_6618_HK,12000,,2020-12,IPO,6000,25,consumer,e_commerce_plus_telehealth_plus_ai,scale,,JD subsidiary,,algorithm,none,Hims & Hers + Ro (D2C Rx),none,,public-co hire 北京; AI 产品经理 / 互联网医院 PM,HK 上市 $12B 市值. 接入 DeepSeek + 自研京医千询 + 康康 agent. 北京家族业务同城,2026-05-16
Ping An Healthcare,平安好医生,S7+S2,ai_telehealth,2014,Shanghai,public,HK_1833_HK,1500,,2018-05,IPO,700,5,consumer_plus_insurance,insurance_bundled_telehealth,scale_plus_insurance_distribution,,Ping An subsidiary,,algorithm,none,K Health + Spring Health,none,,public-co hire 上海,HK 上市但市值跌至 $1.5B (曾 $10B+). 红旗 4/6 估值倒挂. 不推荐,2026-05-16
Ant AQ Afu,蚂蚁阿福 / 蚂蚁医疗大模型,S2,consumer_medical_llm_app,2025,Hangzhou,private,parent_Ant_Group_private,,,2025-06,internal_launch,,,consumer_plus_insurance,ad_plus_premium_subscription,platform_distribution_via_Alipay,,Ant Group internal team,,algorithm,none,OpenEvidence / Hippocratic AI,none,,direct hire 杭州; AI 医疗产品经理,2025-06 launch 蚂蚁 AQ -> 改名蚂蚁阿福. 蚂蚁集团把 AI 医疗推为潜在主业,2026-05-16
DeepSeek Medical (potential),DeepSeek 医疗方向,S2,general_llm_medical_vertical,2023,Hangzhou,private,parent_DeepSeek_private,,,,,,,api_consumers_plus_enterprise,api_pricing,model_capability,1,梁文锋,0,algorithm,none,(no direct US analog - independent foundation model),active,global API,direct hire 杭州; 应用层 PM 招聘可能性,DeepSeek 自身是 LLM lab 不是医疗 vertical. 但 京东健康 已接入. 可能未来发医疗 vertical,2026-05-16
Winning Health,卫宁健康,S6,hospital_information_system_plus_ai,1994,Shanghai,public,A_share_300253_SZSE,1500,,2011,IPO,400,5,hospital,his_software_plus_ai_modules,scale_plus_distribution,0,"周炜 (founder, non-PhD)",0,clinical,none,Epic / Cerner + Innovaccer (closest),none,,public-co hire 上海,"中国 HIS (医院信息系统) 头部. AI 模块为增量. 不像美国 Innovaccer 是 AI-native, 卫宁是 legacy 软件 + 加 AI",2026-05-16
B-Soft,创业慧康,S6,hospital_information_system,1997,Hangzhou,public,A_share_300451_SZSE,800,,2015,IPO,200,5,hospital,his_software,scale,0,葛航 (founder),0,clinical,none,Cerner / Allscripts,none,,public-co hire 杭州,中国 HIS 第二档. 比卫宁略小,2026-05-16
We Doctor,微医,S7,ai_telehealth_internet_hospital,2010,Hangzhou,private,HK_IPO_postponed_2021,5000,1500,2021,F,200,10,patient_plus_insurance_plus_govt,telehealth_subscription_plus_insurance,scale_plus_govt_relations,1,廖杰远,0,hybrid,none,Teladoc + K Health,none,,direct hire 杭州,HK IPO 2021 推迟至今未完成. 估值降至 $5B (曾 $7B+). 红旗 3/6,2026-05-16
Unisound,云知声,S1+S2,medical_voice_plus_llm,2012,Beijing,public,HK_9678_HK_2025,1000,300,2025-04,IPO,100,20,hospital_plus_enterprise,voice_ai_solution,tech_plus_brand,1,黄伟 PhD,0,algorithm,none,Nuance (medical voice),planning,SEA,public-co hire 北京,中国医疗语音 AI + LLM (山海大模型). HK 2025-04 IPO. 是中国最接近 Nuance 模式的厂,2026-05-16
